MAG06_1_1	266834.SMc00814	92.3	39	3	0	1	39	1	39	4.4e-11	71.2
MAG06_1_2	394.NGR_c03750	89.1	467	51	0	1	467	48	514	2.2e-234	816.6
MAG06_1_3	266834.SMc00812	100.0	60	0	0	1	60	68	127	4.0e-27	125.2
MAG06_1_4	266834.SMc00812	96.6	58	2	0	18	75	1	58	1.1e-23	114.0
MAG06_1_5	266834.SMc00811	100.0	245	0	0	1	245	1	245	7.2e-136	488.4
MAG06_1_6	266834.SMc00810	100.0	370	0	0	1	370	77	446	3.7e-208	729.2
MAG06_2_1	266834.SMc00072	100.0	161	0	0	1	161	1	161	2.9e-85	319.7
MAG06_2_2	266834.SMc00073	99.7	312	1	0	1	312	1	312	1.3e-177	627.5
MAG06_2_3	266834.SMc00019	100.0	199	0	0	1	199	1	199	5.5e-110	402.1
MAG06_3_1	439375.Oant_2957	86.9	521	67	1	1	521	1	520	3.1e-269	932.6
MAG06_3_2	1082931.KKY_1065	78.4	315	68	0	1	315	1	315	3.3e-141	506.5
MAG06_3_2	384765.SIAM614_16352	78.3	314	68	0	1	314	1	314	5.3e-139	499.2
MAG06_3_2	744980.TRICHSKD4_5674	77.7	314	70	0	1	314	1	314	6.4e-137	492.3
MAG06_3_3	1082931.KKY_1064	58.2	55	23	0	14	68	14	68	2.2e-10	69.7
MAG06_3_3	439375.Oant_2959	56.5	69	27	2	1	68	1	67	4.9e-10	68.6
MAG06_4_1	266834.SMc00189	96.9	32	1	0	1	32	1	32	2.8e-08	61.6
MAG06_4_1	1117943.SFHH103_01551	96.9	32	1	0	1	32	1	32	6.3e-08	60.5
MAG06_4_1	394.NGR_c16710	96.9	32	1	0	1	32	1	32	6.3e-08	60.5
MAG06_4_2	266834.SMc00188	100.0	52	0	0	1	52	375	426	1.1e-20	103.6
MAG06_4_2	366394.Smed_1540	98.1	52	1	0	1	52	375	426	1.4e-20	103.2
MAG06_4_3	861208.AGROH133_07779	91.0	334	30	0	5	338	4	337	1.2e-184	651.0
MAG06_4_4	266834.SMc00187	100.0	192	0	0	1	192	1	192	1.1e-107	394.4
MAG06_4_4	366394.Smed_1541	95.8	192	8	0	1	192	1	192	1.5e-104	384.0
MAG06_4_5	366394.Smed_1542	93.9	621	38	0	20	640	1	621	0.0e+00	1144.0
MAG06_4_5	394.NGR_c16740	92.1	621	49	0	20	640	1	621	0.0e+00	1122.1
MAG06_4_6	366394.Smed_1543	94.7	360	19	0	1	360	258	617	1.2e-190	671.0
